date,Open,High,Low,Close,Adj Close,Volume
2018-08-31,226.509995,228.869995,226.000000,227.630005,226.838531,43340100
2018-09-04,228.410004,229.179993,226.630005,228.360001,227.565979,27390100
2018-09-05,228.990005,229.669998,225.100006,226.869995,226.081161,33333000
2018-09-06,226.229996,227.350006,221.300003,223.100006,222.324280,34290000
2018-09-07,221.850006,225.369995,220.710007,221.300003,220.530533,37619800
2018-09-10,220.949997,221.850006,216.470001,218.330002,217.570862,39516500
2018-09-11,218.009995,224.300003,216.559998,223.850006,223.071671,35749000
2018-09-12,224.940002,225.000000,219.839996,221.070007,220.301346,49278700
2018-09-13,223.520004,228.350006,222.570007,226.410004,225.622772,41706400
2018-09-14,225.750000,226.839996,222.520004,223.839996,223.061691,31999300
2018-09-17,222.149994,222.949997,217.270004,217.880005,217.122421,37195100
2018-09-18,217.789993,221.850006,217.119995,218.240005,217.481171,31571700
2018-09-19,218.500000,219.619995,215.300003,218.369995,217.610718,27123800
2018-09-20,220.240005,222.279999,219.149994,220.029999,219.264954,26608800
2018-09-21,220.779999,221.360001,217.289993,217.660004,216.903198,96246700
2018-09-24,216.820007,221.259995,216.630005,220.789993,220.022293,27693400
2018-09-25,219.750000,222.820007,219.699997,222.190002,221.417435,24554400
2018-09-26,221.000000,223.750000,219.759995,220.419998,219.653595,23984700
2018-09-27,223.820007,226.440002,223.539993,224.949997,224.167831,30181200
2018-09-28,224.789993,225.839996,224.020004,225.740005,224.955093,22929400
2018-10-01,227.949997,229.419998,226.350006,227.259995,226.469803,23600800
2018-10-02,227.250000,230.000000,226.630005,229.279999,228.482788,24788200
2018-10-03,230.050003,233.470001,229.779999,232.070007,231.263092,28654800
2018-10-04,230.779999,232.350006,226.729996,227.990005,227.197281,32042000
2018-10-05,227.960007,228.410004,220.580002,224.289993,223.510132,33580500
2018-10-08,222.210007,224.800003,220.199997,223.770004,222.991943,29663900
2018-10-09,223.639999,227.270004,222.250000,226.869995,226.081161,26891000
2018-10-10,225.460007,226.350006,216.050003,216.360001,215.607712,41990600
2018-10-11,214.520004,219.500000,212.320007,214.449997,213.704346,53124400
2018-10-12,220.419998,222.880005,216.839996,222.110001,221.337723,40337900
2018-10-15,221.160004,221.830002,217.270004,217.360001,216.604233,30791000
2018-10-16,218.929993,222.990005,216.759995,222.149994,221.377563,29184000
2018-10-17,222.300003,222.639999,219.339996,221.190002,220.420914,22885400
2018-10-18,217.860001,219.740005,213.000000,216.020004,215.268890,32581300
2018-10-19,218.059998,221.259995,217.429993,219.309998,218.547455,33078700
2018-10-22,219.789993,223.360001,218.940002,220.649994,219.882782,28792100
2018-10-23,215.830002,223.250000,214.699997,222.729996,221.955551,38767800
2018-10-24,222.600006,224.229996,214.539993,215.089996,214.342117,40925500
2018-10-25,217.710007,221.380005,216.750000,219.800003,219.035751,29855800
2018-10-26,215.899994,220.190002,212.669998,216.300003,215.547913,47258400
2018-10-29,219.190002,219.690002,206.089996,212.240005,211.502045,45935500
2018-10-30,211.149994,215.179993,209.270004,213.300003,212.558350,36660000
